ages Centile1 Centile2 Centile3 Centile4 Centile5 Centile6 Centile7 Centile8 Centile9 Centile10 Centile11 Centile12 Centile13 Centile14 Centile15 Centile16 Centile17 Centile18 Centile19 Centile20 Centile21 Centile22 Centile23 Centile24 Centile25 Centile26 Centile27 Centile28 Centile29 Centile30 Centile31 Centile32 Centile33 Centile34 Centile35 Centile36 Centile37 Centile38 Centile39 Centile40 Centile41 Centile42 Centile43 Centile44 Centile45 Centile46 Centile47 Centile48 Centile49 Centile50 Centile51 Centile52 Centile53 Centile54 Centile55 Centile56 Centile57 Centile58 Centile59 Centile60 Centile61 Centile62 Centile63 Centile64 Centile65 Centile66 Centile67 Centile68 Centile69 Centile70 Centile71 Centile72 Centile73 Centile74 Centile75 Centile76 Centile77 Centile78 Centile79 Centile80 Centile81 Centile82 Centile83 Centile84 Centile85 Centile86 Centile87 Centile88 Centile89 Centile90 Centile91 Centile92 Centile93 Centile94 Centile95 Centile96 Centile97 Centile98 Centile99 Centile100
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 1.0627427650871368 1.0537355982834016 1.0509460485342748 1.0437950260487043 1.0407882658259044 1.0392296799251133 1.0375456889569141 1.0334093515748008 1.0340340017771363 1.0311420745953406 1.03388580071562 1.0288254027576125 1.0287749119674952 1.029035053384495 1.026981019501972 1.0250802788933229 1.0241125012760712 1.0248096407945733 1.0253931445945599 1.0268298332300154 1.0221538671779575 1.0227904581306748 1.0207602352734095 1.0229754781512261 1.0200716086591595 1.0203157283682156 1.0200304475012212 1.0159170872537557 1.0183562559730923 1.0150303478590232 1.0157027417327846 1.0167964992398388 1.014171333960701 1.0187254684946352 1.0144199169308787 1.0130944574839844 1.0100837115381598 1.0110975168943162 1.0109746511155329 1.0079565896140879 1.0117970203525524 1.0073894649067106 1.0102045346142796 1.0098347590353671 1.0076409574467964 1.004016075047333 1.008697482492282 1.0057008241443082 1.0041097810428519 1.0058740860277118 1.0022644665331109 1.0023786102961225 1.0034550314845578 1.0016941713000178 1.00317002348284 1.0014022302982892 1.000131550373563 0.9991318082562827 1.0005647281739036 0.9974068806861827 0.9965284098742393 1.0003928189568239 0.9994583047972152 0.9966980228231944 0.9985694579276084 0.9980145603907284 0.9984209517174499 0.9983364788914558 0.9968025736746744 0.9939676423218766 0.995333054861605 0.9945995316455566 0.9976507196544103 0.9961722792008083 0.9978911949286454 0.9952320705963656 0.9936333531177055 0.9952369626105617 0.9943231678795942 0.9907189703410586 0.9927438358649421 0.9892312624276636 0.9890994023722027 0.9891168789290867 0.9896110989638774 0.9875969564149606 0.988607749737908 0.9876431486060129 0.9880898476035807 0.9883820715306503 0.9837521174990134 0.984099114203921 0.9832962630869821 0.9836506689200886 0.983075280012433 0.982784569134737 0.9797416787741993 0.9809087043538744 0.9758760552114882 0.9722488813721532
2 2.1254855301742737 2.107471196566803 2.1018920970685495 2.0875900520974087 2.081576531651809 2.0784593598502266 2.0750913779138283 2.0668187031496017 2.0680680035542727 2.062284149190681 2.06777160143124 2.057650805515225 2.0575498239349903 2.05807010676899 2.053962039003944 2.0501605577866457 2.0482250025521425 2.0496192815891465 2.0507862891891198 2.053659666460031 2.044307734355915 2.0455809162613496 2.041520470546819 2.0459509563024523 2.040143217318319 2.040631456736431 2.0400608950024424 2.0318341745075115 2.0367125119461846 2.0300606957180465 2.0314054834655693 2.0335929984796777 2.028342667921402 2.0374509369892704 2.0288398338617575 2.026188914967969 2.0201674230763196 2.0221950337886323 2.0219493022310657 2.0159131792281757 2.0235940407051047 2.014778929813421 2.0204090692285592 2.0196695180707342 2.0152819148935928 2.008032150094666 2.017394964984564 2.0114016482886163 2.0082195620857037 2.0117481720554236 2.0045289330662217 2.004757220592245 2.0069100629691157 2.0033883426000356 2.00634004696568 2.0028044605965785 2.000263100747126 1.9982636165125653 2.0011294563478073 1.9948137613723653 1.9930568197484786 2.0007856379136477 1.9989166095944304 1.9933960456463888 1.9971389158552169 1.996029120781457 1.9968419034348999 1.9966729577829117 1.9936051473493488 1.9879352846437532 1.99066610972321 1.9891990632911132 1.9953014393088206 1.9923445584016166 1.9957823898572908 1.9904641411927313 1.987266706235411 1.9904739252211234 1.9886463357591884 1.9814379406821172 1.9854876717298842 1.9784625248553271 1.9781988047444055 1.9782337578581735 1.979222197927755 1.9751939128299212 1.977215499475816 1.9752862972120258 1.9761796952071613 1.9767641430613005 1.9675042349980267 1.968198228407842 1.9665925261739643 1.9673013378401771 1.966150560024866 1.965569138269474 1.9594833575483985 1.961817408707749 1.9517521104229765 1.9444977627443063
3 3.1882282952614105 3.1612067948502043 3.152838145602824 3.131385078146113 3.122364797477713 3.1176890397753394 3.112637066870742 3.1002280547244028 3.102102005331409 3.0934262237860213 3.1016574021468597 3.086476208272838 3.0863247359024855 3.087105160153485 3.080943058505916 3.075240836679969 3.0723375038282135 3.0744289223837193 3.0761794337836794 3.0804894996900463 3.066461601533873 3.0683713743920245 3.0622807058202284 3.068926434453678 3.060214825977478 3.060947185104647 3.060091342503663 3.047751261761267 3.0550687679192774 3.0450910435770697 3.047108225198354 3.0503894977195167 3.0425140018821026 3.0561764054839053 3.0432597507926364 3.039283372451953 3.0302511346144794 3.0332925506829485 3.032923953346599 3.0238697688422636 3.0353910610576573 3.0221683947201314 3.0306136038428386 3.0295042771061014 3.022922872340389 3.0120482251419993 3.026092447476846 3.0171024724329247 3.012329343128555 3.017622258083135 3.006793399599333 3.0071358308883673 3.010365094453674 3.0050825139000534 3.0095100704485205 3.004206690894868 3.0003946511206894 2.997395424768848 3.0016941845217104 2.9922206420585478 2.989585229622718 3.001178456870472 2.9983749143916456 2.9900940684695834 2.995708373782825 2.9940436811721853 2.9952628551523497 2.995009436674368 2.990407721024023 2.98190292696563 2.9859991645848147 2.98379859493667 2.9929521589632313 2.988516837602425 2.993673584785936 2.9856962117890973 2.9809000593531163 2.985710887831685 2.982969503638783 2.9721569110231756 2.9782315075948262 2.9676937872829905 2.9672982071166083 2.96735063678726 2.9688332968916322 2.962790869244882 2.965823249213724 2.9629294458180384 2.964269542810742 2.9651462145919507 2.9512563524970403 2.952297342611763 2.9498887892609464 2.9509520067602657 2.949225840037299 2.948353707404211 2.939225036322598 2.942726113061623 2.9276281656344647 2.9167466441164596
4 4.250971060348547 4.214942393133606 4.203784194137099 4.175180104194817 4.163153063303618 4.156918719700453 4.1501827558276565 4.133637406299203 4.136136007108545 4.124568298381362 4.13554320286248 4.11530161103045 4.115099647869981 4.11614021353798 4.107924078007888 4.1003211155732915 4.096450005104285 4.099238563178293 4.1015725783782395 4.107319332920062 4.08861546871183 4.091161832522699 4.083040941093638 4.0919019126049045 4.080286434636638 4.081262913472862 4.080121790004885 4.063668349015023 4.073425023892369 4.060121391436093 4.0628109669311385 4.067185996959355 4.056685335842804 4.074901873978541 4.057679667723515 4.052377829935938 4.040334846152639 4.044390067577265 4.0438986044621315 4.031826358456351 4.0471880814102095 4.029557859626842 4.0408181384571185 4.0393390361414685 4.0305638297871855 4.016064300189332 4.034789929969128 4.022803296577233 4.0164391241714075 4.023496344110847 4.009057866132443 4.00951444118449 4.013820125938231 4.006776685200071 4.01268009393136 4.005608921193157 4.000526201494252 3.9965272330251307 4.0022589126956145 3.9896275227447306 3.986113639496957 4.001571275827295 3.997833219188861 3.9867920912927777 3.9942778317104337 3.992058241562914 3.9936838068697997 3.9933459155658233 3.9872102946986976 3.9758705692875065 3.98133221944642 3.9783981265822264 3.9906028786176413 3.9846891168032332 3.9915647797145817 3.9809282823854626 3.974533412470822 3.980947850442247 3.9772926715183767 3.9628758813642344 3.9709753434597683 3.9569250497106543 3.956397609488811 3.956467515716347 3.95844439585551 3.9503878256598424 3.954430998951632 3.9505725944240515 3.9523593904143226 3.953528286122601 3.9350084699960535 3.936396456815684 3.9331850523479286 3.9346026756803543 3.932301120049732 3.931138276538948 3.918966715096797 3.923634817415498 3.903504220845953 3.8889955254886126
5 5.313713825435684 5.268677991417007 5.254730242671374 5.218975130243522 5.203941329129521 5.1961483996255655 5.18772844478457 5.1670467578740045 5.170170008885681 5.155710372976702 5.1694290035781 5.144127013788062 5.143874559837475 5.145175266922475 5.13490509750986 5.125401394466615 5.120562506380356 5.124048203972865 5.126965722972799 5.1341491661500775 5.110769335889787 5.1139522906533745 5.103801176367047 5.1148773907561305 5.100358043295797 5.101578641841078 5.100152237506106 5.079585436268779 5.0917812798654625 5.075151739295117 5.078513708663923 5.083982496199194 5.070856669803505 5.093627342473176 5.072099584654394 5.065472287419921 5.050418557690799 5.055487584471581 5.0548732555776645 5.039782948070439 5.0589851017627625 5.0369473245335525 5.051022673071397 5.049173795176836 5.0382047872339815 5.020080375236666 5.04348741246141 5.028504120721541 5.020548905214259 5.029370430138559 5.0113223326655545 5.011893051480612 5.017275157422789 5.0084708565000895 5.0158501174142005 5.007011151491446 5.0006577518678155 4.995659041281414 5.002823640869518 4.987034403430913 4.982642049371196 5.001964094784119 4.9972915239860765 4.983490114115972 4.992847289638042 4.990072801953643 4.992104758587249 4.991682394457279 4.984012868373372 4.9698382116093835 4.976665274308025 4.972997658227783 4.988253598272052 4.980861396004042 4.989455974643227 4.976160352981829 4.968166765588528 4.976184813052808 4.9716158393979715 4.953594851705293 4.96371917932471 4.946156312138317 4.945497011861014 4.945584394645433 4.948055494819387 4.937984782074803 4.94303874868954 4.938215743030064 4.940449238017903 4.941910357653251 4.918760587495067 4.920495571019606 4.916481315434911 4.918253344600442 4.915376400062165 4.913922845673685 4.898708393870996 4.904543521769372 4.879380276057441 4.861244406860766
6 6.376456590522821 6.322413589700409 6.305676291205648 6.262770156292226 6.244729594955426 6.235378079550679 6.225274133741484 6.2004561094488055 6.204204010662818 6.186852447572043 6.203314804293719 6.172952416545676 6.172649471804971 6.17421032030697 6.161886117011832 6.150481673359938 6.144675007656427 6.148857844767439 6.152358867567359 6.1609789993800925 6.132923203067746 6.136742748784049 6.124561411640457 6.137852868907356 6.120429651954956 6.121894370209294 6.120182685007326 6.095502523522534 6.110137535838555 6.0901820871541394 6.094216450396708 6.1007789954390335 6.085028003764205 6.112352810967811 6.086519501585273 6.078566744903906 6.060502269228959 6.066585101365897 6.065847906693198 6.047739537684527 6.070782122115315 6.044336789440263 6.061227207685677 6.059008554212203 6.045845744680778 6.024096450283999 6.052184894953692 6.0342049448658495 6.02465868625711 6.03524451616627 6.013586799198666 6.014271661776735 6.020730188907348 6.010165027800107 6.019020140897041 6.008413381789736 6.000789302241379 5.994790849537696 6.003388369043421 5.9844412841170955 5.979170459245436 6.002356913740944 5.996749828783291 5.980188136939167 5.99141674756565 5.988087362344371 5.990525710304699 5.990018873348736 5.980815442048046 5.96380585393126 5.9719983291696295 5.96759718987334 5.985904317926463 5.97703367520485 5.987347169571872 5.9713924235781946 5.961800118706233 5.97142177566337 5.965939007277566 5.944313822046351 5.9564630151896525 5.935387574565981 5.934596414233217 5.93470127357452 5.9376665937832644 5.925581738489764 5.931646498427448 5.925858891636077 5.928539085621484 5.930292429183901 5.902512704994081 5.904594685223526 5.899777578521893 5.901904013520531 5.898451680074598 5.896707414808422 5.878450072645196 5.885452226123246 5.855256331268929 5.833493288232919
7 7.439199355609958 7.376149187983811 7.356622339739923 7.306565182340931 7.28551786078133 7.274607759475792 7.262819822698399 7.233865461023607 7.238238012439954 7.217994522167383 7.237200605009339 7.201777819303288 7.201424383772466 7.203245373691465 7.188867136513804 7.175561952253261 7.168787508932498 7.173667485562012 7.1777520121619185 7.187808832610108 7.155077070245703 7.159533206914724 7.1453216469138665 7.160828347058582 7.140501260614116 7.142210098577509 7.140213132508547 7.111419610776291 7.128493791811647 7.105212435013163 7.109919192129492 7.117575494678872 7.099199337724906 7.131078279462446 7.100939418516152 7.091661202387891 7.0705859807671185 7.077682618260213 7.076822557808731 7.0556961272986145 7.082579142467867 7.051726254346974 7.071431742299957 7.06884331324757 7.053486702127574 7.0281125253313315 7.060882377445974 7.039905769010158 7.028768467299963 7.041118602193982 7.015851265731776 7.016650272072858 7.024185220391906 7.011859199100125 7.0221901643798805 7.009815612088025 7.000920852614942 6.993922657793979 7.003953097217325 6.981848164803279 6.975698869119675 7.002749732697768 6.996208133580507 6.976886159762361 6.989986205493259 6.9861019227351 6.988946662022149 6.988355352240191 6.977618015722721 6.957773496253137 6.967331384031234 6.962196721518896 6.983555037580873 6.973205954405659 6.985238364500518 6.966624494174559 6.955433471823938 6.966658738273932 6.960262175157159 6.93503279238741 6.949206851054594 6.924618836993645 6.923695816605419 6.923818152503607 6.927277692747142 6.913178694904724 6.920254248165356 6.91350204024209 6.916628933225065 6.918674500714552 6.886264822493094 6.888693799427448 6.8830738416088755 6.8855546824406195 6.881526960087031 6.87949198394316 6.858191751419395 6.8663609304771205 6.831132386480418 6.805742169605073
8 8.501942120697095 8.429884786267213 8.407568388274198 8.350360208389635 8.326306126607236 8.313837439400906 8.300365511655313 8.267274812598407 8.27227201421709 8.249136596762725 8.27108640572496 8.2306032220609 8.230199295739961 8.23228042707596 8.215848156015776 8.200642231146583 8.19290001020857 8.198477126356586 8.203145156756479 8.214638665840123 8.17723093742366 8.182323665045399 8.166081882187276 8.183803825209809 8.160572869273276 8.162525826945725 8.16024358000977 8.127336698030046 8.146850047784739 8.120242782872186 8.125621933862277 8.13437199391871 8.113370671685608 8.149803747957082 8.11535933544703 8.104755659871875 8.080669692305278 8.08878013515453 8.087797208924263 8.063652716912703 8.094376162820419 8.059115719253684 8.081636276914237 8.078678072282937 8.061127659574371 8.032128600378664 8.069579859938257 8.045606593154465 8.032878248342815 8.046992688221694 8.018115732264887 8.01902888236898 8.027640251876463 8.013553370400142 8.02536018786272 8.011217842386314 8.001052402988504 7.993054466050261 8.004517825391229 7.979255045489461 7.972227278993914 8.00314255165459 7.995666438377722 7.973584182585555 7.988555663420867 7.984116483125828 7.9873676137395995 7.986691831131647 7.974420589397395 7.951741138575013 7.96266443889284 7.956796253164453 7.981205757235283 7.9693782336064665 7.983129559429163 7.961856564770925 7.949066824941644 7.961895700884494 7.9545853430367535 7.925751762728469 7.941950686919537 7.913850099421309 7.912795218977622 7.912935031432694 7.91688879171102 7.900775651319685 7.908861997903264 7.901145188848103 7.904718780828645 7.907056572245202 7.870016939992107 7.872792913631368 7.866370104695857 7.8692053513607085 7.864602240099464 7.862276553077896 7.837933430193594 7.847269634830996 7.807008441691906 7.777991050977225
9 9.564684885784231 9.483620384550614 9.458514436808473 9.394155234438339 9.367094392433138 9.353067119326019 9.337911200612227 9.300684164173209 9.306306015994227 9.280278671358063 9.30497220644058 9.259428624818513 9.258974207707457 9.261315480460455 9.242829175517748 9.225722510039907 9.21701251148464 9.223286767151158 9.228538301351039 9.24146849907014 9.199384804601618 9.205114123176074 9.186842117460685 9.206779303361035 9.180644477932434 9.18284155531394 9.18027402751099 9.143253785283802 9.165206303757833 9.135273130731209 9.141324675595062 9.151168493158549 9.127542005646308 9.168529216451716 9.12977925237791 9.117850117355859 9.090753403843438 9.099877652048846 9.098771860039797 9.07160930652679 9.106173183172972 9.066505184160395 9.091840811528517 9.088512831318305 9.068768617021167 9.036144675425998 9.078277342430537 9.051307417298775 9.036988029385666 9.052866774249406 9.020380198797998 9.021407492665103 9.03109528336102 9.01524754170016 9.028530211345561 9.012620072684603 9.001183953362068 8.992186274306544 9.005082553565131 8.976661926175645 8.968755688868153 9.003535370611415 8.995124743174937 8.97028220540875 8.987125121348477 8.982131043516556 8.98578856545705 8.985028310023102 8.97122316307207 8.94570878089689 8.957997493754444 8.951395784810009 8.978856476889693 8.965550512807274 8.981020754357809 8.957088635367292 8.942700178059349 8.957132663495056 8.948908510916349 8.916470733069527 8.93469452278448 8.903081361848972 8.901894621349825 8.90205191036178 8.906499890674898 8.888372607734645 8.897469747641171 8.888788337454116 8.892808628432226 8.895438643775853 8.853769057491121 8.85689202783529 8.84966636778284 8.852856020280797 8.847677520111898 8.845061122212634 8.817675108967794 8.82817833918487 8.782884496903394 8.750239932349379
