ages Centile1 Centile2 Centile3 Centile4 Centile5 Centile6 Centile7 Centile8 Centile9 Centile10 Centile11 Centile12 Centile13 Centile14 Centile15 Centile16 Centile17 Centile18 Centile19 Centile20 Centile21 Centile22 Centile23 Centile24 Centile25 Centile26 Centile27 Centile28 Centile29 Centile30 Centile31 Centile32 Centile33 Centile34 Centile35 Centile36 Centile37 Centile38 Centile39 Centile40 Centile41 Centile42 Centile43 Centile44 Centile45 Centile46 Centile47 Centile48 Centile49 Centile50 Centile51 Centile52 Centile53 Centile54 Centile55 Centile56 Centile57 Centile58 Centile59 Centile60 Centile61 Centile62 Centile63 Centile64 Centile65 Centile66 Centile67 Centile68 Centile69 Centile70 Centile71 Centile72 Centile73 Centile74 Centile75 Centile76 Centile77 Centile78 Centile79 Centile80 Centile81 Centile82 Centile83 Centile84 Centile85 Centile86 Centile87 Centile88 Centile89 Centile90 Centile91 Centile92 Centile93 Centile94 Centile95 Centile96 Centile97 Centile98 Centile99
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 1.0780005045700074 1.067785805671557 1.0641998499810714 1.059812675440641 1.0550150029389382 1.0525604322528719 1.0494890273079964 1.047473343591717 1.04641031283623 1.0460307204973993 1.044064646037418 1.0406711801580621 1.0398700276698116 1.0393774492847607 1.036818588961068 1.035785213977257 1.0359569785781568 1.0350648127926032 1.0358302641386568 1.0339395937793214 1.0313379742640485 1.031408364531396 1.030403059203509 1.0290212970206962 1.0288909138299696 1.0278821319448572 1.0270320659484193 1.0265563433929425 1.0242278112251442 1.023198927757424 1.023373475005544 1.021970839324705 1.0215281838029164 1.0208513665056511 1.0188141688672325 1.0168358446482975 1.0162718004855151 1.0171552182679573 1.0148668874411353 1.0139762944372175 1.0147543971650315 1.0131104178845567 1.0120171222221068 1.0114995675826444 1.0100980639757469 1.0102857979601434 1.0098251660093127 1.0070560765462127 1.006247824598915 1.0054068087038626 1.0044881841417643 1.0056701724060737 1.0043944398559546 1.0037379441283611 1.0032337233904784 1.0009292977711015 1.0007193874187148 1.0009609052826074 0.9999335221278743 0.998359544163492 0.9998249500867546 1.0010804902132628 0.9989529976166655 0.997065986804021 0.9977559361220653 0.9982050228093051 0.9979240074095629 0.9968633187931811 0.9950670622078164 0.9942668971924916 0.993667636552444 0.9939052880393932 0.9938829555371418 0.9931025581987263 0.9936921888120194 0.9930121389954214 0.9913035681827831 0.9910464593030237 0.9899976393434706 0.990013111360258 0.9893930999272011 0.9870525962641098 0.9873546138623959 0.9873040183408817 0.9862051601753586 0.9848879395336114 0.9840366711786435 0.9850006023072431 0.9850471062423118 0.9836078808900316 0.9828865987910915 0.9818719826417207 0.9810694196969512 0.9810377869539196 0.9788082882645482 0.9766572678903925 0.9756805060730089 0.9733825671961717 0.9699161491732888
2 2.156001009140015 2.135571611343114 2.128399699962143 2.119625350881282 2.1100300058778765 2.1051208645057438 2.098978054615993 2.094946687183434 2.09282062567246 2.0920614409947986 2.088129292074836 2.0813423603161243 2.0797400553396233 2.0787548985695214 2.073637177922136 2.071570427954514 2.0719139571563137 2.0701296255852064 2.0716605282773135 2.067879187558643 2.062675948528097 2.062816729062792 2.060806118407018 2.0580425940413924 2.057781827659939 2.0557642638897144 2.0540641318968387 2.053112686785885 2.0484556224502883 2.046397855514848 2.046746950011088 2.04394167864941 2.043056367605833 2.0417027330113022 2.037628337734465 2.033671689296595 2.0325436009710303 2.0343104365359146 2.0297337748822706 2.027952588874435 2.029508794330063 2.0262208357691134 2.0240342444442136 2.0229991351652887 2.0201961279514937 2.020571595920287 2.0196503320186254 2.0141121530924253 2.01249564919783 2.010813617407725 2.0089763682835287 2.0113403448121474 2.008788879711909 2.0074758882567223 2.006467446780957 2.001858595542203 2.0014387748374296 2.001921810565215 1.9998670442557487 1.996719088326984 1.9996499001735093 2.0021609804265257 1.997905995233331 1.994131973608042 1.9955118722441305 1.9964100456186102 1.9958480148191258 1.9937266375863623 1.9901341244156328 1.9885337943849832 1.987335273104888 1.9878105760787863 1.9877659110742836 1.9862051163974526 1.9873843776240387 1.9860242779908428 1.9826071363655662 1.9820929186060474 1.9799952786869413 1.980026222720516 1.9787861998544023 1.9741051925282196 1.9747092277247917 1.9746080366817633 1.9724103203507173 1.9697758790672228 1.968073342357287 1.9700012046144861 1.9700942124846237 1.9672157617800632 1.965773197582183 1.9637439652834414 1.9621388393939023 1.9620755739078393 1.9576165765290965 1.953314535780785 1.9513610121460179 1.9467651343923433 1.9398322983465777
3 3.234001513710022 3.2033574170146712 3.192599549943214 3.179438026321923 3.1650450088168145 3.1576812967586156 3.1484670819239895 3.142420030775151 3.1392309385086903 3.1380921614921977 3.1321939381122545 3.122013540474186 3.119610083009435 3.1181323478542824 3.1104557668832036 3.1073556419317705 3.1078709357344705 3.1051944383778096 3.10749079241597 3.1018187813379643 3.0940139227921453 3.094225093594188 3.091209177610527 3.0870638910620887 3.086672741489909 3.0836463958345717 3.0810961978452576 3.0796690301788274 3.0726834336754325 3.069596783272272 3.0701204250166323 3.0659125179741142 3.0645845514087493 3.0625540995169533 3.0564425066016976 3.0505075339448924 3.0488154014565456 3.051465654803872 3.044600662323406 3.0419288833116527 3.0442631914950944 3.0393312536536703 3.03605136666632 3.034498702747933 3.030294191927241 3.0308573938804306 3.029475498027938 3.0211682296386377 3.018743473796745 3.016220426111588 3.0134645524252934 3.017010517218221 3.013183319567864 3.0112138323850832 3.0097011701714353 3.0027878933133043 3.0021581622561446 3.002882715847822 2.999800566383623 2.9950786324904763 2.999474850260264 3.003241470639789 2.9968589928499965 2.9911979604120633 2.9932678083661957 2.9946150684279154 2.9937720222286885 2.9905899563795435 2.985201186623449 2.9828006915774745 2.981002909657332 2.9817158641181796 2.981648866611425 2.979307674596179 2.981076566436058 2.9790364169862644 2.9739107045483495 2.9731393779090713 2.9699929180304117 2.9700393340807745 2.9681792997816037 2.9611577887923293 2.9620638415871876 2.961912055022645 2.958615480526076 2.9546638186008343 2.9521100135359304 2.955001806921729 2.9551413187269353 2.9508236426700947 2.9486597963732746 2.945615947925162 2.9432082590908535 2.943113360861759 2.936424864793645 2.9299718036711777 2.927041518219027 2.920147701588515 2.9097484475198665
4 4.31200201828003 4.271143222686228 4.256799399924286 4.239250701762564 4.220060011755753 4.2102417290114875 4.197956109231986 4.189893374366868 4.18564125134492 4.184122881989597 4.176258584149672 4.162684720632249 4.1594801106792465 4.157509797139043 4.147274355844272 4.143140855909028 4.143827914312627 4.140259251170413 4.143321056554627 4.135758375117286 4.125351897056194 4.125633458125584 4.121612236814036 4.116085188082785 4.115563655319878 4.111528527779429 4.108128263793677 4.10622537357177 4.096911244900577 4.092795711029696 4.093493900022176 4.08788335729882 4.086112735211666 4.0834054660226045 4.07525667546893 4.06734337859319 4.0650872019420605 4.068620873071829 4.059467549764541 4.05590517774887 4.059017588660126 4.052441671538227 4.048068488888427 4.0459982703305775 4.0403922559029875 4.041143191840574 4.039300664037251 4.028224306184851 4.02499129839566 4.02162723481545 4.017952736567057 4.022680689624295 4.017577759423818 4.014951776513445 4.012934893561914 4.003717191084406 4.002877549674859 4.00384362113043 3.9997340885114974 3.993438176653968 3.9992998003470186 4.004321960853051 3.995811990466662 3.988263947216084 3.991023744488261 3.9928200912372205 3.9916960296382515 3.9874532751727245 3.9802682488312655 3.9770675887699665 3.974670546209776 3.9756211521575726 3.975531822148567 3.972410232794905 3.9747687552480775 3.9720485559816856 3.9652142727311324 3.964185837212095 3.9599905573738825 3.960052445441032 3.9575723997088046 3.948210385056439 3.9494184554495835 3.9492160733635266 3.9448206407014346 3.9395517581344457 3.936146684714574 3.9400024092289723 3.9401884249692474 3.9344315235601264 3.931546395164366 3.927487930566883 3.9242776787878046 3.9241511478156785 3.915233153058193 3.90662907156157 3.9027220242920357 3.8935302687846867 3.8796645966931553
5 5.390002522850037 5.338929028357785 5.320999249905356 5.299063377203205 5.275075014694691 5.26280216126436 5.247445136539983 5.237366717958585 5.232051564181151 5.230153602486997 5.22032323018709 5.20335590079031 5.199350138349058 5.196887246423803 5.184092944805339 5.178926069886284 5.179784892890784 5.175324063963016 5.1791513206932835 5.169697968896607 5.156689871320242 5.15704182265698 5.152015296017544 5.145106485103481 5.144454569149849 5.139410659724286 5.135160329742097 5.132781716964712 5.12113905612572 5.115994638787121 5.116867375027721 5.109854196623524 5.107640919014582 5.104256832528256 5.094070844336162 5.084179223241487 5.081359002427575 5.0857760913397865 5.0743344372056765 5.069881472186088 5.073771985825157 5.065552089422783 5.060085611110534 5.057497837913221 5.050490319878734 5.051428989800717 5.049125830046563 5.035280382731063 5.031239122994575 5.027034043519313 5.022440920708822 5.0283508620303685 5.021972199279773 5.018689720641805 5.016168616952393 5.004646488855507 5.003596937093574 5.004804526413037 4.999667610639372 4.99179772081746 4.999124750433773 5.005402451066314 4.994764988083327 4.985329934020106 4.988779680610326 4.991025114046526 4.989620037047814 4.9843165939659055 4.975335311039082 4.9713344859624575 4.96833818276222 4.969526440196965 4.969414777685709 4.965512790993631 4.968460944060097 4.965060694977107 4.956517840913915 4.955232296515119 4.949988196717353 4.950065556801291 4.946965499636006 4.935262981320549 4.93677306931198 4.936520091704408 4.931025800876793 4.924439697668057 4.920183355893218 4.925003011536216 4.925235531211559 4.918039404450158 4.914432993955457 4.909359913208604 4.905347098484756 4.9051889347695985 4.8940414413227415 4.8832863394519626 4.878402530365045 4.866912835980858 4.849580745866444
6 6.468003027420044 6.4067148340293425 6.385199099886428 6.358876052643846 6.330090017633629 6.315362593517231 6.296934163847979 6.284840061550302 6.278461877017381 6.276184322984395 6.264387876224509 6.244027080948372 6.23922016601887 6.236264695708565 6.220911533766407 6.214711283863541 6.215741871468941 6.210388876755619 6.21498158483194 6.203637562675929 6.1880278455842905 6.188450187188376 6.182418355221054 6.174127782124177 6.173345482979818 6.167292791669143 6.162192395690515 6.159338060357655 6.145366867350865 6.139193566544544 6.140240850033265 6.1318250359482285 6.129169102817499 6.125108199033907 6.112885013203395 6.101015067889785 6.097630802913091 6.102931309607744 6.089201324646812 6.083857766623305 6.088526382990189 6.078662507307341 6.07210273333264 6.068997405495866 6.060588383854482 6.061714787760861 6.058950996055876 6.0423364592772755 6.03748694759349 6.032440852223176 6.026929104850587 6.034021034436442 6.026366639135728 6.0224276647701664 6.019402340342871 6.005575786626609 6.004316324512289 6.005765431695644 5.999601132767246 5.990157264980953 5.998949700520528 6.006482941279578 5.993717985699993 5.982395920824127 5.986535616732391 5.989230136855831 5.987544044457377 5.981179912759087 5.970402373246898 5.965601383154949 5.962005819314664 5.963431728236359 5.96329773322285 5.958615349192358 5.962153132872116 5.958072833972529 5.947821409096699 5.946278755818143 5.939985836060823 5.940078668161549 5.936358599563207 5.9223155775846585 5.924127683174375 5.92382411004529 5.917230961052152 5.9093276372016685 5.904220027071861 5.910003613843458 5.910282637453871 5.901647285340189 5.897319592746549 5.891231895850324 5.886416518181707 5.886226721723518 5.87284972958729 5.859943607342355 5.854083036438054 5.84029540317703 5.819496895039733
7 7.546003531990052 7.474500639700899 7.449398949867499 7.418688728084487 7.385105020572567 7.367923025770104 7.346423191155975 7.33231340514202 7.324872189853611 7.322215043481795 7.308452522261927 7.284698261106434 7.279090193688682 7.275642144993325 7.257730122727475 7.250496497840798 7.251698850047097 7.245453689548222 7.250811848970597 7.23757715645525 7.219365819848338 7.219858551719772 7.212821414424562 7.203149079144874 7.202236396809788 7.195174923614 7.1892244616389345 7.185894403750598 7.169594678576009 7.162392494301969 7.163614325038809 7.153795875272934 7.150697286620415 7.145959565539558 7.131699182070627 7.117850912538082 7.113902603398606 7.120086527875701 7.104068212087947 7.097834061060523 7.10328078015522 7.091772925191897 7.084119855554747 7.0804969730785094 7.070686447830228 7.072000585721004 7.0687761620651886 7.049392535823488 7.043734772192405 7.037847660927039 7.031417288992351 7.039691206842516 7.030761078991683 7.026165608898528 7.02263606373335 7.006505084397711 7.005035711931004 7.006726336978251 6.999534654895121 6.9885168091444445 6.998774650607283 7.007563431492841 6.992670983316659 6.979461907628147 6.984291552854456 6.987435159665136 6.98546805186694 6.978043231552268 6.965469435454715 6.959868280347441 6.955673455867108 6.957337016275752 6.957180688759992 6.9517179073910835 6.955845321684135 6.95108497296795 6.939124977279482 6.937325215121166 6.929983475404294 6.930091779521806 6.925751699490409 6.909368173848769 6.9114822970367715 6.911128128386172 6.90343612122751 6.89421557673528 6.888256698250505 6.895004216150702 6.895329743696182 6.885255166230221 6.88020619153764 6.873103878492045 6.867485937878659 6.8672645086774375 6.851658017851838 6.836600875232747 6.8297635425110625 6.8136779703732016 6.789413044213021
8 8.62400403656006 8.542286445372456 8.513598799848571 8.478501403525128 8.440120023511506 8.420483458022975 8.395912218463971 8.379786748733736 8.37128250268984 8.368245763979195 8.352517168299345 8.325369441264497 8.318960221358493 8.315019594278086 8.294548711688543 8.286281711818056 8.287655828625255 8.280518502340826 8.286642113109254 8.271516750234571 8.250703794112388 8.251266916251168 8.243224473628072 8.23217037616557 8.231127310639756 8.223057055558858 8.216256527587355 8.21245074714354 8.193822489801153 8.185591422059392 8.186987800044353 8.17576671459764 8.172225470423331 8.166810932045209 8.15051335093786 8.13468675718638 8.130174403884121 8.137241746143658 8.118935099529082 8.11181035549774 8.118035177320252 8.104883343076454 8.096136977776855 8.091996540661155 8.080784511805975 8.082286383681147 8.078601328074502 8.056448612369701 8.04998259679132 8.0432544696309 8.035905473134115 8.04536137924859 8.035155518847636 8.02990355302689 8.025869787123828 8.007434382168812 8.005755099349718 8.00768724226086 7.999468177022995 7.986876353307936 7.998599600694037 8.008643921706103 7.991623980933324 7.976527894432168 7.982047488976522 7.985640182474441 7.983392059276503 7.974906550345449 7.960536497662531 7.954135177539933 7.949341092419552 7.951242304315145 7.951063644297134 7.94482046558981 7.949537510496155 7.944097111963371 7.930428545462265 7.92837167442419 7.919981114747765 7.920104890882064 7.915144799417609 7.896420770112878 7.898836910899167 7.898432146727053 7.889641281402869 7.879103516268891 7.872293369429148 7.8800048184579445 7.880376849938495 7.868863047120253 7.863092790328732 7.854975861133766 7.848555357575609 7.848302295631357 7.830466306116386 7.81325814312314 7.8054440485840715 7.787060537569373 7.759329193386311
9 9.702004541130066 9.610072251044013 9.577798649829642 9.538314078965769 9.495135026450443 9.473043890275848 9.445401245771968 9.427260092325453 9.417692815526072 9.414276484476593 9.396581814336763 9.366040621422558 9.358830249028305 9.354397043562846 9.33136730064961 9.322066925795312 9.32361280720341 9.315583315133429 9.32247237724791 9.305456344013892 9.282041768376436 9.282675280782565 9.273627532831581 9.261191673186266 9.260018224469727 9.250939187503715 9.243288593535773 9.239007090536482 9.218050301026297 9.208790349816816 9.210361275049896 9.197737553922343 9.193753654226247 9.18766229855086 9.169327519805092 9.151522601834678 9.146446204369637 9.154396964411616 9.133801986970218 9.125786649934957 9.132789574485283 9.11799376096101 9.108154099998961 9.103496108243798 9.090882575781722 9.092572181641291 9.088426494083814 9.063504688915913 9.056230421390234 9.048661278334764 9.04039365727588 9.051031551654663 9.039549958703592 9.03364149715525 9.029103510514307 9.008363679939913 9.006474486768434 9.008648147543466 8.99940169915087 8.985235897471428 8.998424550780792 9.009724411919366 8.990576978549988 8.973593881236189 8.979803425098586 8.983845205283746 8.981316066686066 8.97176986913863 8.955603559870347 8.948402074732424 8.943008728971995 8.945147592354537 8.944946599834276 8.937923023788537 8.943229699308175 8.937109250958793 8.921732113645048 8.919418133727214 8.909978754091235 8.910118002242323 8.904537899344811 8.883473366376988 8.886191524761562 8.885736165067934 8.875846441578227 8.863991455802504 8.85633004060779 8.865005420765188 8.865423956180805 8.852470928010284 8.845979389119824 8.836847843775487 8.82962477727256 8.829340082585277 8.809274594380934 8.789915411013533 8.781124554657081 8.760443104765544 8.729245342559599
