age deaths_total deaths_female deaths_male

0.0 2.0 0.0 2.0
1.0 2.0 0.0 2.0
2.0 1.4 0.06666666666666667 1.3333333333333335
3.0 0.8 0.13333333333333333 0.6666666666666667
4.0 0.2 0.2 0.0
5.0 0.16 0.16 0.0
6.0 0.12000000000000001 0.12000000000000001 0.0
7.0 0.08000000000000002 0.08000000000000002 0.0
8.0 0.04000000000000001 0.04000000000000001 0.0
9.0 0.0 0.0 0.0
10.0 0.12 0.04 0.08
11.0 0.24 0.08 0.16
12.0 0.36 0.12 0.24
13.0 0.48 0.16 0.32
14.0 0.6 0.2 0.4
15.0 0.8400000000000001 0.32000000000000006 0.52
16.0 1.08 0.44000000000000006 0.64
17.0 1.3200000000000003 0.56 0.76
18.0 1.56 0.6800000000000002 0.88
19.0 1.8 0.8 1.0
20.0 2.44 1.04 1.3599999999999999
21.0 3.08 1.28 1.72
22.0 3.7199999999999998 1.52 2.08
23.0 4.36 1.76 2.44
24.0 5.0 2.0 2.8
25.0 5.96 2.28 3.52
26.0 6.92 2.56 4.24
27.0 7.880000000000001 2.84 4.96
28.0 8.84 3.12 5.68
29.0 9.8 3.4 6.4
30.0 11.08 4.04 7.0
31.0 12.36 4.68 7.6000000000000005
32.0 13.64 5.319999999999999 8.2
33.0 14.92 5.959999999999999 8.8
34.0 16.2 6.6 9.4
35.0 18.16 7.4399999999999995 10.48
36.0 20.12 8.28 11.56
37.0 22.08 9.120000000000001 12.64
38.0 24.04 9.96 13.72
39.0 26.0 10.8 14.8
40.0 30.88 12.32 18.0
41.0 35.76 13.84 21.200000000000003
42.0 40.64 15.36 24.400000000000002
43.0 45.519999999999996 16.88 27.6
44.0 50.4 18.4 30.8
45.0 58.96 21.799999999999997 35.8
46.0 67.52 25.2 40.8
47.0 76.08 28.599999999999998 45.8
48.0 84.64 32.0 50.8
49.0 93.2 35.4 55.8
50.0 109.04 40.56 66.12
51.0 124.88 45.72 76.44
52.0 140.72 50.88 86.76
53.0 156.56 56.040000000000006 97.08000000000001
54.0 172.4 61.2 107.4
55.0 196.72 67.92 124.80000000000001
56.0 221.04000000000002 74.64 142.2
57.0 245.36 81.36 159.6
58.0 269.68 88.08 177.0
59.0 294.0 94.8 194.4
60.0 318.64 103.56 210.0
61.0 343.28 112.32 225.6
62.0 367.91999999999996 121.08 241.2
63.0 392.56 129.84 256.79999999999995
64.0 417.2 138.6 272.4
65.0 446.96 149.44 290.59999999999997
66.0 476.71999999999997 160.28 308.79999999999995
67.0 506.48 171.12 327.0
68.0 536.24 181.96 345.2
69.0 566.0 192.8 363.4
70.0 640.88 219.44 409.96
71.0 715.76 246.08 456.52
72.0 790.64 272.72 503.08000000000004
73.0 865.52 299.36 549.6400000000001
74.0 940.4 326.0 596.2
75.0 1023.76 363.16 641.32
76.0 1107.12 400.32 686.44
77.0 1190.48 437.48 731.56
78.0 1273.8400000000001 474.64 776.68
79.0 1357.2 511.8 821.8
80.0 1474.24 572.0 877.1999999999999
81.0 1591.28 632.2 932.5999999999999
82.0 1708.3200000000002 692.4 988.0
83.0 1825.3600000000001 752.5999999999999 1043.3999999999999
84.0 1942.4 812.8 1098.8
85.0 1971.56 848.76 1091.48
86.0 2000.72 884.72 1084.16
87.0 2029.8799999999999 920.6800000000001 1076.84
88.0 2059.04 956.64 1069.52
89.0 2088.2 992.6 1062.2
90.0 1879.2979009560245 1099.6683757079309 744.9530113240622
91.0 1606.7997053174008 940.2164612302811 636.9348246820731
92.0 1370.008169796942 801.6582458910817 543.0707452552414
93.0 1164.5069443274006 681.4095090074194 461.6101334669552
94.0 986.4058822537983 577.1939370415788 391.0109365837738
95.0 832.2799631516423 487.0073843788321 329.9154777425592
96.0 699.1151690473796 409.086202878219 277.1290013037497
97.0 584.2605341324529 341.8791838339402 231.60066537527652
98.0 485.3856745100378 284.02270656973496 192.40670661946046
99.0 400.4431814707812 234.31873292003135 158.73553296105493
100.0 327.63533029427555 191.71532693457112 129.87452696813585
101.0 265.38461753836316 155.28941481700258 105.19836684419006
102.0 212.30769403069058 124.23153185360208 84.15869347535204
103.0 167.1923090491688 97.83233133471163 66.27497111183973
104.0 128.97692412364452 75.47065560106327 51.126406286276364
